# Source: https://github.com/Ysurac/FlightAirMap/blob/master/db/aircraft.sql
# icao, type, manufacturer, official_page, aircraft_shadow, aircraft_description, engine_type, engine_count, wake_category, mfr
'A124','An-124 Ruslan/Ruslan','ANTONOV','http://www.antonov.com/aircraft/transport-aircraft/an-124-100-ruslan','A124.png','Landplane','Jet',4,'H',
'A140','An-140/Faraz/IRAN-140 Faraz','HESA','http://www.antonov.com/aircraft/passenger-aircraft/an-140','generic_T2M.png','Landplane','Turboprop',2,'M',
'A225','An-225 Mriya/Mriya','ANTONOV','http://www.antonov.com/aircraft/transport-aircraft/an-225-mriya','A225.png','Landplane','Jet',6,'H',
'A306','A-300B4-600/A-300C4-600/A-300F4-600','AIRBUS','http://www.airbus.com/aircraftfamilies/out-of-production/a300-600/','generic_J2H.png','Landplane','Jet',2,'H',
'A30B','A-300B2/A-300B2-1/A-300B2-100/A-300B2-200/A-300B2K-3/A-300B4-2/A-300B4-100/A-300B4-200/A-300C4-200/A-300F4-200','AIRBUS',,'generic_J2H.png','Landplane','Jet',2,'H',
'A310','A-310/CC-150 Polaris/Polaris','AIRBUS','http://www.airbus.com/aircraftfamilies/out-of-production/a310/','generic_J2H.png','Landplane','Jet',2,'H',
'A318','A-318/Elite/A-318 Elite','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a320family/','generic_J2M.png','Landplane','Jet',2,'M',
'A319','A-319/VC-1 ACJ/A-319 ACJ/ACJ','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a320family/','A320.png','Landplane','Jet',2,'M',
'A320','A-320/A-320 Prestige/Prestige (A-320)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a320family/','A320.png','Landplane','Jet',2,'M',
'A321','A-321','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a320family/','A320.png','Landplane','Jet',2,'M',
'A330','Airbus A330','Airbus','http://www.airbus.com/aircraftfamilies/passengeraircraft/a330family/','A330.png',,,,,
'A332','A-330-200/A-330-200 Voyager/Voyager/KC-30/A-330-200 Prestige/Prestige (A-330-200)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a330family/','A330.png','Landplane','Jet',2,'H',
'A333','A-330-300','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a330family/','A330.png','Landplane','Jet',2,'H',
'A340','A-340','Airbus','http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/','A340.png',,,,,
'A342','A-340-200/A-340-200 Prestige/Prestige (A-340-200)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/','A340.png','Landplane','Jet',4,'H',
'A343','A-340-300/A-340-300 Prestige/Prestige (A-340-300)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/','A340.png','Landplane','Jet',4,'H',
'A345','A-340-500/A-340-500 Prestige/Prestige (A-340-500)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/','A340.png','Landplane','Jet',4,'H',
'A346','A-340-600/A-340-600 Prestige/Prestige (A-340-600)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a340family/','A340.png','Landplane','Jet',4,'H',
'A359','A-350-900/A-350-900 XWB/A-350-900 XWB Prestige/Prestige (A-350-900)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a350xwbfamily/','generic_J2H.png','Landplane','Jet',2,'H',
'A388','A-380-800/A-380-800 Prestige/Prestige (A-380-800)','AIRBUS','http://www.airbus.com/aircraftfamilies/passengeraircraft/a380family/','A380.png','Landplane','Jet',4,'H',
'A3ST','A-300ST Beluga/A-300ST Super Transporter/Beluga/Super Transporter/A-300ST Beluga/A-300ST Super Transporter/Beluga/Super Transporter','SATIC','http://www.airbus.com/aircraftfamilies/freighter/beluga/','generic_J2H.png','Landplane','Jet',2,'H',
'A748','748/C-91/BAe-748/Andover/C-91/HS-748/HS-748 Andover/HS-780 Andover/748/748','KANPUR',,'generic_T2M.png','Landplane','Turboprop',2,'M',
'AC68','Commander 680 Super/Commander 680E/Commander 680F/L-26C Commander 680 Super/U-4B Commander 680 Super/U-9 Commander 680 Super/680F Commander 680F/680FP Commander 680FP/Commander 680F/Commander 680FP','AERO COMMANDER',,'generic_P2L.png','Landplane','Piston',2,'L',
'AC90','690 Jetprop Commander 840/690 Jetprop Commander 900/Jetprop Commander 840/Jetprop Commander 900/690 Jetprop Commander 840/690 Jetprop Commander 900/Jetprop Commander 840/Jetprop Commander 900/690 Turbo Commander 690/Turbo Commander 690/690 Jetprop Command','ROCKWELL',,'generic_T2L.png','Landplane','Turboprop',2,'L',
'AN12','An-12/Y-8','SHAANXI','http://www.antonov.com/aircraft/antonov-gliders-and-airplanes/an-12','AN12.png','Landplane','Turboprop',4,'M',
'AN24','An-24/Y-7-100/Y-7-200/Y-7E','XIAN','http://www.antonov.com/aircraft/antonov-gliders-and-airplanes/an-24','generic_T2M.png','Landplane','Turboprop',2,'M',
'AN26','An-26/Y-7H','XIAN','http://www.antonov.com/aircraft/antonov-gliders-and-airplanes/an-26','generic_T2M.png','Landplane','Turboprop',2,'M',
'AN28','An-28/An-28/An-28 Bryza/M-28 Bryza (TWD-10 engines)/Bryza (TWD-10 engines)','PZL-MIELEC','http://www.antonov.com/aircraft/antonov-gliders-and-airplanes/an-28','generic_T2L.png','Landplane','Turboprop',2,'L',
'AN30','An-30','ANTONOV','http://www.antonov.com/aircraft/antonov-gliders-and-airplanes/an-30','generic_T2M.png','Landplane','Turboprop',2,'M',
'AN32','An-32/An-32 Firekiller/An-32 Sutlej/Firekiller/Sutlej','ANTONOV','http://www.antonov.com/aircraft/transport-aircraft/an-32','generic_T2M.png','Landplane','Turboprop',2,'M',
'AN72','An-72/An-74-100/An-74-200','ANTONOV','http://www.antonov.com/aircraft/passenger-aircraft/an-74','generic_J2M.png','Landplane','Jet',2,'M',
